,Content ID,Type,Datetime,Content Type,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-07-11 09:43:00,photo,studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-06-01 19:13:00,photo,studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-09-04 02:46:00,photo,studying,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:00,photo,healthy eating,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-04-08 05:40:00,photo,healthy eating,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:00,video,dogs,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:00,video,dogs,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-11-02 20:10:00,video,dogs,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 01:44:00,photo,public speaking,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 04:14:00,photo,public speaking,negative,0
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-07-11 08:49:00,GIF,science,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-11-09 16:22:00,GIF,tennis,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13 16:31:00,GIF,tennis,negative,0
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23 19:31:00,GIF,tennis,negative,0
14,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-08-12 13:12:00,video,food,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-05-01 13:15:00,video,food,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-08-11 02:43:00,video,food,negative,0
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-04-19 01:45:00,video,food,negative,0
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-10-18 12:49:00,video,food,negative,0
19,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,2021-08-02 03:28:00,GIF,fitness,negative,0
20,f332d362-dc48-46c2-a64b-641157c0987e,disgust,2021-02-15 20:35:00,GIF,soccer,negative,0
21,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-09-06 09:41:00,video,public speaking,negative,0
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2020-12-26 06:13:00,video,public speaking,negative,0
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-15 17:31:00,video,public speaking,negative,0
24,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2020-11-21 03:14:00,video,food,negative,0
25,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2021-01-01 11:23:00,video,food,negative,0
26,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2021-10-04 09:41:00,video,tennis,negative,0
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-12-14 12:53:00,video,tennis,negative,0
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-06-10 10:20:00,video,tennis,negative,0
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-08-27 15:08:00,video,tennis,negative,0
30,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-09-13 08:14:00,GIF,soccer,negative,0
31,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-08-19 03:04:00,GIF,soccer,negative,0
32,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2021-09-03 21:30:00,GIF,soccer,negative,0
33,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2020-12-12 23:02:00,GIF,soccer,negative,0
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2021-03-30 23:01:00,GIF,soccer,negative,0
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2020-10-22 03:40:00,GIF,soccer,negative,0
36,388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,2021-03-31 00:16:00,video,education,negative,0
37,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,2020-07-12 00:39:00,photo,studying,negative,0
38,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,2020-06-07 19:29:00,photo,studying,negative,0
39,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-11-09 20:55:00,photo,travel,negative,0
40,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-07-26 11:28:00,photo,travel,negative,0
41,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,2021-11-05 03:04:00,audio,dogs,negative,0
42,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,2021-04-28 07:00:00,GIF,science,negative,0
43,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,2020-07-21 09:23:00,GIF,veganism,negative,0
44,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,2020-06-21 14:10:00,GIF,veganism,negative,0
45,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,2021-08-03 02:51:00,photo,healthy eating,negative,0
46,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,2021-02-21 08:37:00,video,food,negative,0
47,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,2020-04-12 13:10:00,video,food,negative,0
48,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-12-22 19:44:00,video,dogs,negative,0
49,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-08-07 10:18:00,video,dogs,negative,0
50,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-10-22 15:01:00,video,dogs,negative,0
51,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2021-01-17 23:43:00,video,cooking,negative,0
52,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2020-06-23 11:28:00,video,cooking,negative,0
53,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,2020-10-10 23:55:00,audio,food,negative,0
54,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,2020-01-08 08:00:00,photo,technology,negative,0
55,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-06-30 23:11:00,GIF,healthy eating,negative,0
56,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2021-05-21 14:58:00,GIF,healthy eating,negative,0
57,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-01-10 07:34:00,GIF,healthy eating,negative,0
